home_team,away_team,home_team_prob,result,odds 1,odds 2,date
CHI,ATL,0.6255320227537459,0,2.14,1.74,2025-10-27
DAL,OKC,0.3106524687964385,0,3.7,1.29,2025-10-27
DET,CLE,0.513076019664289,0,2.2,1.7,2025-10-27
GSW,MEM,0.6635216003488732,0,1.29,3.7,2025-10-27
HOU,BRK,0.48057308398852644,0,1.07,9.0,2025-10-27
LAL,POR,0.7267535356091751,0,2.2,1.7,2025-10-27
MIN,DEN,0.6417247580306555,0,3.05,1.4,2025-10-27
NOP,BOS,0.34438968996982733,0,1.74,2.14,2025-10-27
PHI,ORL,0.659285394953311,0,2.9,1.43,2025-10-27
SAS,TOR,0.748654791755525,0,1.49,2.7,2025-10-27
UTA,PHO,0.5011426492879132,0,1.85,1.98,2025-10-27
