date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,kelly_full,kelly_fraction_used,stake_eur,exp_profit_eur,param_home_win_rate_threshold,param_odds_min,param_odds_max,param_prob_threshold,bankroll_at_bettime,fair_odds,edge_pct
2025-11-08,CLE,CHI,0.75,833,0.75,1.29,-3.25,-112,0.0,0.0,-0.0,0.55,1.1,2.9,0.4,1419.15,1333,-3.23
2025-11-08,DEN,IND,1.0,889,0.75,1.17,-12.25,-721,0.0,0.0,-0.0,0.55,1.1,2.9,0.4,1419.15,1333,-12.23
2025-11-08,LAC,PHO,0.6,545,0.55,1.54,-15.3,-283,0.0,0.0,-0.0,0.55,1.1,2.9,0.4,1419.15,1818,-15.29
2025-11-08,PHI,TOR,0.67,667,667,1.52,1.33,26,13,18.19,0.24,0.55,1.1,2.9,0.4,1419.15,1.5,1.33
2025-11-08,SAS,NOP,1.0,889,0.75,1.17,-12.25,-721,0.0,0.0,-0.0,0.55,1.1,2.9,0.4,1419.15,1333,-12.23
