home_team,away_team,home_team_prob,result,odds 1,odds 2,date
CHI,SAS,0.46517311092255953,0,2.5,1.56,2025-11-10
CHO,LAL,0.5407293330532569,0,3.8,1.28,2025-11-10
DAL,MIL,0.36059782406992413,0,2.24,1.68,2025-11-10
DET,WAS,0.7058761298143654,0,1.15,5.7,2025-11-10
LAC,ATL,0.5486662615757796,0,1.54,2.54,2025-11-10
MIA,CLE,0.5673203422888953,0,3.4,1.34,2025-11-10
ORL,POR,0.46955966197031807,0,1.77,2.1,2025-11-10
PHO,NOP,0.6311135023315002,0,1.28,3.85,2025-11-10
UTA,MIN,0.41688174171088505,0,3.45,1.33,2025-11-10
