date,home_team,away_team,home_win_rate,prob_iso,odds_1,EV_€_per_100,logged_at,log_date,stake,settled,win,pnl,bankroll_after
2025-10-29,CHI,SAC,1.0,0.875,1.51,32.12,2025-10-30 15:24:24.067596,2025-10-30,100,False,,,
2025-10-29,DEN,NOP,1.0,0.833,1.14,-5.0,2025-10-30 15:24:24.067596,2025-10-30,100,False,,,
2025-10-29,PHO,MEM,1.0,0.636,2.02,28.55,2025-10-30 15:24:24.067596,2025-10-30,100,False,,,
2025-10-29,UTA,POR,1.0,0.714,2.24,60.0,2025-10-30 15:24:24.067596,2025-10-30,100,False,,,
