home_team,away_team,home_team_prob,result,odds 1,odds 2,date
BOS,WAS,0.6532282128986501,0,1.15,5.9,2025-11-05
CLE,PHI,0.6177731617101003,0,1.24,4.2,2025-11-05
DAL,NOP,0.45332535108047356,0,1.32,3.5,2025-11-05
DEN,MIA,0.7524935187800198,0,1.25,4.1,2025-11-05
DET,UTA,0.5571330538748205,0,1.22,4.5,2025-11-05
IND,BRK,0.47173324874353706,0,1.37,3.2,2025-11-05
LAL,SAS,0.7065662934327936,0,1.74,2.14,2025-11-05
MEM,HOU,0.48447859655645525,0,3.6,1.31,2025-11-05
NYK,MIN,0.6920965492994933,0,1.65,2.3,2025-11-05
POR,OKC,0.5263048426930239,0,2.6,1.52,2025-11-05
SAC,GSW,0.5553876015483552,0,1.7,2.2,2025-11-05
