,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
GSW,12,5,5,1.0
OKC,12,5,5,1.0
NYK,10,7,7,1.0
DEN,10,6,6,1.0
SAS,10,5,5,1.0
MIA,11,5,5,1.0
CHI,10,6,5,0.83
PHO,11,6,5,0.83
DET,11,6,5,0.83
CLE,11,5,4,0.8
HOU,9,3,2,0.67
PHI,11,6,4,0.67
MIL,11,6,4,0.67
POR,10,5,3,0.6
LAL,11,5,3,0.6
UTA,11,5,3,0.6
MIN,11,4,2,0.5
ORL,11,6,3,0.5
TOR,11,4,2,0.5
LAC,10,7,3,0.43
ATL,11,5,2,0.4
CHO,10,5,2,0.4
BOS,12,5,2,0.4
MEM,12,8,3,0.38
SAC,11,6,2,0.33
NOP,10,3,1,0.33
DAL,11,7,2,0.29
IND,11,5,1,0.2
WAS,11,5,0,0.0
BRK,11,6,0,0.0
