home_team,away_team,home_team_prob,result,odds 1,odds 2,date
CHO,BRK,0.338739334693389,CHO,"1,5","2,75",2025-10-23
NYK,CLE,0.48976237908947806,NYK,"1,62","2,5",2025-10-23
ORL,MIA,0.38393934722553535,ORL,"1,33","4,1",2025-10-23
BOS,PHI,0.4871743630287672,PHI,"1,6","2,42",2025-10-23
ATL,TOR,0.23098431147929338,TOR,"1,44","2,85",2025-10-23
CHI,DET,0.4555581422788112,CHI,"2,17","1,81",2025-10-23
MEM,NOP,0.5001195066058592,MEM,"1,53","2,5",2025-10-23
MIL,WAS,0.5747770484434845,MIL,"1,22","4,4",2025-10-23
UTA,LAC,0.5069791398501519,UTA,"1,21","4,6",2025-10-23
DAL,SAS,0.29824151291310547,SAS,"1,95","2,2",2025-10-23
POR,MIN,0.4301687006041267,MIN,"2,75","1,6",2025-10-23
PHO,SAC,0.471660898045118,PHO,"1,55","2,5",2025-10-23
