date,home_team,away_team,home_win_rate,prob_iso,odds_1,EV_€_per_100,kelly_full,kelly_fraction_used,stake_eur,param_home_win_rate_threshold,param_odds_min,param_odds_max,param_prob_threshold,bankroll_at_bettime
2025-10-31,CHI,NYK,1.0,0.85,2.6,121.0,0.756,0.05,50.0,0.55,1.1,2.9,0.4,1000.0
2025-10-31,CLE,TOR,1.0,0.85,1.35,14.75,0.421,0.05,50.0,0.55,1.1,2.9,0.4,1000.0
2025-10-31,LAC,NOP,1.0,0.85,1.19,1.15,0.061,0.03,30.26,0.55,1.1,2.9,0.4,1000.0
2025-10-31,MEM,LAL,0.67,0.667,1.8,20.0,0.25,0.05,50.0,0.55,1.1,2.9,0.4,1000.0
2025-10-31,PHI,BOS,1.0,0.562,1.7,-4.38,-0.063,0.0,0.0,0.55,1.1,2.9,0.4,1000.0
