home_team,away_team,home_team_prob,result,odds 1,odds 2,date
BRK,CLE,0.3944473868173287,CLE,"2,1","1,77",2025-10-24
DAL,WAS,0.3183073897438852,WAS,"1,24","4,43",2025-10-24
HOU,DET,0.5202169222878452,HOU,"1,95","2,25",2025-10-24
LAC,PHO,0.32483110835592366,PHO,"1,23","4,4",2025-10-24
LAL,MIN,0.5743413818589066,LAL,"2,05","1,81",2025-10-24
MEM,MIA,0.5985323798415145,MEM,"1,71","2,15",2025-10-24
NOP,SAS,0.36062909895893186,NOP,"1,56","2,5",2025-10-24
NYK,BOS,0.6512124624794146,NYK,"1,67","2,25",2025-10-24
ORL,ATL,0.5996045065044405,ORL,"1,42","2,94",2025-10-24
POR,GSW,0.4031212023317619,GSW,"1,68","2,25",2025-10-24
SAC,UTA,0.3782020573579452,UTA,"1,83","2,05",2025-10-24
TOR,MIL,0.4861625495813919,MIL,"1,75","2,2",2025-10-24
