,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DEN,9,6,6,1.0
GSW,11,5,5,1.0
SAS,10,5,5,1.0
NYK,9,6,6,1.0
OKC,11,4,4,1.0
MIA,11,5,5,1.0
DET,11,6,5,0.83
CHI,10,6,5,0.83
PHO,11,6,5,0.83
CLE,11,5,4,0.8
HOU,9,3,2,0.67
MIL,11,6,4,0.67
PHI,10,5,3,0.6
LAL,11,5,3,0.6
POR,10,5,3,0.6
ORL,11,6,3,0.5
TOR,10,4,2,0.5
MIN,11,4,2,0.5
UTA,10,4,2,0.5
LAC,10,7,3,0.43
ATL,11,5,2,0.4
BOS,11,5,2,0.4
SAC,10,5,2,0.4
CHO,10,5,2,0.4
MEM,11,8,3,0.38
NOP,10,3,1,0.33
DAL,11,7,2,0.29
IND,10,5,1,0.2
BRK,10,5,0,0.0
WAS,11,5,0,0.0
