,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
MIA,6,2,2,1.0
GSW,7,3,3,1.0
OKC,7,4,4,1.0
NYK,6,3,3,1.0
SAS,6,3,3,1.0
LAC,5,3,3,1.0
CHI,6,4,4,1.0
DEN,5,2,2,1.0
PHO,7,4,3,0.75
MIL,6,4,3,0.75
DET,6,4,3,0.75
POR,6,3,2,0.67
PHI,6,3,2,0.67
CLE,7,3,2,0.67
UTA,6,3,2,0.67
HOU,5,2,1,0.5
SAC,6,2,1,0.5
CHO,7,4,2,0.5
MEM,7,4,2,0.5
LAL,7,4,2,0.5
DAL,6,5,2,0.4
TOR,7,3,1,0.33
MIN,6,3,1,0.33
IND,6,3,1,0.33
BOS,7,3,1,0.33
ORL,7,3,1,0.33
WAS,6,3,0,0.0
NOP,6,2,0,0.0
BRK,6,3,0,0.0
ATL,7,2,0,0.0
