home_team,away_team,home_team_prob,result,odds 1,odds 2,date
CLE,MIL,0.6196150031502539,0,1.39,3.1,2025-10-26
DAL,TOR,0.3187522368890158,0,1.87,1.95,2025-10-26
DET,BOS,0.5182374162309578,0,1.51,2.64,2025-10-26
LAC,POR,0.4940595446935642,0,1.32,3.5,2025-10-26
MIA,NYK,0.5535571090181824,0,2.2,1.7,2025-10-26
MIN,IND,0.6837240315306252,0,1.17,5.4,2025-10-26
SAC,LAL,0.45946250223768303,0,2.24,1.68,2025-10-26
SAS,BRK,0.6782102457876245,0,1.16,5.55,2025-10-26
WAS,CHO,0.5290155118953928,0,1.77,2.1,2025-10-26
