,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,5,3,3,1.0
OKC,6,3,3,1.0
MIL,5,3,3,1.0
CHI,4,3,3,1.0
DEN,4,2,2,1.0
MIA,5,2,2,1.0
CLE,5,1,1,1.0
PHI,4,2,2,1.0
LAC,4,2,2,1.0
NYK,4,2,2,1.0
GSW,6,3,3,1.0
MEM,5,3,2,0.67
UTA,4,3,2,0.67
DET,5,3,2,0.67
POR,5,2,1,0.5
SAC,5,2,1,0.5
PHO,5,2,1,0.5
HOU,4,2,1,0.5
BOS,5,2,1,0.5
CHO,5,2,1,0.5
DAL,5,5,2,0.4
MIN,5,3,1,0.33
LAL,5,3,1,0.33
ORL,6,3,1,0.33
BRK,5,2,0,0.0
TOR,5,2,0,0.0
WAS,5,2,0,0.0
NOP,4,2,0,0.0
ATL,5,2,0,0.0
IND,4,1,0,0.0
