home_team,away_team,home_team_prob,result,odds 1,odds 2,date
ATL,TOR,0.5027526959136438,0,1.74,2.14,2025-11-07
BRK,DET,0.45686382013690346,0,4.7,1.21,2025-11-07
DEN,GSW,0.747001205201082,0,1.23,4.4,2025-11-07
MEM,DAL,0.4772347100151228,0,1.56,2.5,2025-11-07
MIA,CHO,0.5999896218330998,0,1.4,3.05,2025-11-07
MIL,CHI,0.6314874787116254,0,1.57,2.45,2025-11-07
MIN,UTA,0.579499043203572,0,1.15,5.9,2025-11-07
ORL,BOS,0.45524075157703997,0,1.62,2.36,2025-11-07
SAC,OKC,0.62188098132539,0,5.25,1.17,2025-11-07
SAS,HOU,0.5557058375026426,0,2.45,1.57,2025-11-07
WAS,CLE,0.22743231769828162,0,6.75,1.12,2025-11-07
