,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
UTA,3,2,2,1.0
SAS,4,2,2,1.0
PHI,3,2,2,1.0
CLE,4,1,1,1.0
LAC,3,2,2,1.0
GSW,4,2,2,1.0
CHI,3,2,2,1.0
PHO,4,1,1,1.0
CHO,3,1,1,1.0
MIL,3,1,1,1.0
OKC,4,1,1,1.0
NYK,3,2,2,1.0
DEN,3,1,1,1.0
MIA,3,1,1,1.0
MEM,4,3,2,0.67
POR,4,2,1,0.5
HOU,3,2,1,0.5
SAC,3,2,1,0.5
DET,4,2,1,0.5
MIN,4,2,1,0.5
ORL,4,3,1,0.33
LAL,4,3,1,0.33
DAL,4,4,1,0.25
NOP,3,2,0,0.0
WAS,3,1,0,0.0
ATL,4,2,0,0.0
BOS,4,1,0,0.0
IND,3,1,0,0.0
TOR,4,1,0,0.0
BRK,4,1,0,0.0
