home_team,away_team,home_team_prob,result,odds 1,odds 2,date
BOS,UTA,0.5919683367907562,0,1.21,4.6,2025-11-03
BRK,MIN,0.29870190658393475,0,3.95,1.27,2025-11-03
DEN,SAC,0.7155677281852099,0,1.17,5.4,2025-11-03
HOU,DAL,0.7753343552205606,0,1.14,6.0,2025-11-03
IND,MIL,0.5456080787604752,0,2.85,1.44,2025-11-03
LAC,MIA,0.5799624496213974,0,1.31,3.6,2025-11-03
MEM,DET,0.5116766961476504,0,2.6,1.52,2025-11-03
NYK,WAS,0.7241969928644688,0,1.15,5.9,2025-11-03
POR,LAL,0.5538324849125705,0,1.31,3.6,2025-11-03
