date,home_team,away_team,home_win_rate,prob_iso,odds_1,stake_eur,won
2025-10-28,GSW,LAC,1.0,0.6666666666666666,2.05,20.0,1.0
2025-10-28,MIA,CHO,1.0,0.75,1.44,20.0,1.0
2025-10-28,MIL,NYK,1.0,0.710288212665866,2.05,20.0,1.0
2025-10-28,OKC,SAC,1.0,0.8571428571428571,1.22,20.0,1.0
2025-10-29,CHI,SAC,1.0,0.875,1.51,20.0,1.0
2025-10-29,PHO,MEM,1.0,0.6363636363636364,2.02,20.0,0.0
2025-10-29,UTA,POR,1.0,0.7142857142857143,2.24,20.0,0.0
2025-10-30,CHO,ORL,1.0,0.9,2.15,50.0,
2025-10-30,MIL,GSW,1.0,0.857,2.3,50.0,
2025-10-30,SAS,MIA,1.0,0.9,1.42,50.0,
