,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,5,2,2,1.0
MIL,4,2,2,1.0
GSW,5,3,3,1.0
MIA,4,2,2,1.0
CHI,3,2,2,1.0
SAS,4,2,2,1.0
UTA,3,2,2,1.0
PHI,4,2,2,1.0
CHO,4,1,1,1.0
PHO,4,1,1,1.0
NYK,4,2,2,1.0
DEN,3,1,1,1.0
LAC,4,2,2,1.0
CLE,4,1,1,1.0
MEM,4,3,2,0.67
DET,4,2,1,0.5
POR,4,2,1,0.5
MIN,4,2,1,0.5
HOU,3,2,1,0.5
SAC,4,2,1,0.5
LAL,4,3,1,0.33
ORL,4,3,1,0.33
DAL,4,4,1,0.25
WAS,4,2,0,0.0
ATL,4,2,0,0.0
NOP,3,2,0,0.0
TOR,4,1,0,0.0
BRK,4,1,0,0.0
IND,3,1,0,0.0
BOS,4,1,0,0.0
