,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,6,3,3,1.0
NYK,7,4,4,1.0
CHI,6,4,4,1.0
DEN,6,3,3,1.0
GSW,7,3,3,1.0
MIA,7,2,2,1.0
OKC,7,4,4,1.0
LAC,6,4,3,0.75
PHO,7,4,3,0.75
DET,7,4,3,0.75
MIL,7,4,3,0.75
PHI,6,3,2,0.67
HOU,6,3,2,0.67
UTA,7,3,2,0.67
CLE,7,3,2,0.67
POR,7,4,2,0.5
LAL,8,4,2,0.5
CHO,7,4,2,0.5
SAC,7,2,1,0.5
MEM,8,5,2,0.4
DAL,7,5,2,0.4
ORL,7,3,1,0.33
MIN,7,3,1,0.33
TOR,7,3,1,0.33
BOS,8,4,1,0.25
IND,7,4,1,0.25
BRK,7,4,0,0.0
NOP,6,2,0,0.0
ATL,7,2,0,0.0
WAS,7,3,0,0.0
