,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,13,6,6,1.0
DEN,11,6,6,1.0
GSW,13,5,5,1.0
NYK,11,8,7,0.88
PHO,13,7,6,0.86
DET,12,7,6,0.86
SAS,11,6,5,0.83
MIA,12,6,5,0.83
CHI,11,6,5,0.83
HOU,10,4,3,0.75
MIL,12,6,4,0.67
PHI,11,6,4,0.67
CLE,13,6,4,0.67
LAL,12,5,3,0.6
POR,11,5,3,0.6
MIN,11,4,2,0.5
ORL,12,6,3,0.5
UTA,12,6,3,0.5
CHO,11,6,3,0.5
BOS,13,6,3,0.5
TOR,12,4,2,0.5
ATL,13,5,2,0.4
LAC,11,8,3,0.38
MEM,13,8,3,0.38
SAC,12,7,2,0.29
NOP,11,4,1,0.25
DAL,12,8,2,0.25
IND,12,5,1,0.2
BRK,11,6,0,0.0
WAS,12,5,0,0.0
