home_team,away_team,home_team_prob,result,odds 1,odds 2,date
DAL,LAC,0.6185515436190341,0,2.14,1.74,2025-11-14
DET,PHI,0.7199655027381294,0,1.62,2.36,2025-11-14
HOU,POR,0.4708917171979225,0,1.32,3.5,2025-11-14
MIL,CHO,0.590337852427655,0,1.26,4.0,2025-11-14
MIN,SAC,0.7054447551716919,0,1.16,5.55,2025-11-14
NOP,LAL,0.3416893981065324,0,4.6,1.21,2025-11-14
NYK,MIA,0.7155599340355069,0,1.4,3.05,2025-11-14
ORL,BRK,0.5164012596954913,0,1.11,7.25,2025-11-14
SAS,GSW,0.49922736767262726,0,1.68,2.24,2025-11-14
