home_team,away_team,home_team_prob,result,odds 1,odds 2,date
BOS,CLE,0.6568043780336956,0,2.45,1.57,2025-10-29
BRK,ATL,0.354995792983917,0,3.6,1.31,2025-10-29
CHI,SAC,0.695061342039007,0,1.51,2.64,2025-10-29
DAL,IND,0.32792694202370865,0,1.4,3.05,2025-10-29
DEN,NOP,0.6124042184991795,0,1.14,6.0,2025-10-29
DET,ORL,0.5129327492872349,0,1.98,1.85,2025-10-29
MIN,LAL,0.49783133539352337,0,1.37,3.2,2025-10-29
PHO,MEM,0.5067430714098696,0,2.02,1.82,2025-10-29
TOR,HOU,0.41340667987590746,0,2.7,1.49,2025-10-29
UTA,POR,0.5420583033237949,0,2.24,1.68,2025-10-29
