date,home_team,away_team,home_win_rate,prob_iso,odds_1,stake_eur,won
2025-10-30,CHO,ORL,1.0,0.9,2.15,50.0,
2025-10-30,MIL,GSW,1.0,0.857,2.3,50.0,
2025-10-30,SAS,MIA,1.0,0.9,1.42,50.0,
2025-10-31,CHI,NYK,1.0,0.85,2.6,50.0,
2025-10-31,CLE,TOR,1.0,0.85,1.35,50.0,
2025-10-31,LAC,NOP,1.0,0.85,1.19,30.26,
2025-10-31,MEM,LAL,0.67,0.667,1.8,50.0,
2025-11-01,DET,DAL,0.67,0.826,1.33,50.0,
2025-11-02,PHO,SAS,0.67,0.462,2.9,53.9,
2025-11-04,CHI,PHI,1.0,0.5,1.87,18.42,
2025-11-05,NYK,MIN,1.0,0.842,1.65,118.16,
2025-11-06,PHO,LAC,0.75,0.818,1.74,124.96,
2025-11-07,MIL,CHI,0.75,0.8,1.57,128.66,
2025-11-07,SAS,HOU,1.0,0.615,2.45,128.66,
2025-11-08,PHI,TOR,0.67,0.667,1.52,18.19,
2025-11-09,MIL,HOU,0.8,0.789,2.45,159.53,
2025-11-10,CHI,SAS,1.0,0.438,2.5,143.58,
2025-11-11,PHI,BOS,0.6,0.722,2.02,129.22,
2025-11-12,NYK,ORL,1.0,0.933,1.57,142.4,
2025-11-12,SAS,GSW,1.0,1.0,1.62,142.4,
2025-11-13,PHO,IND,0.83,0.848,1.54,113.92,
