,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
ATL,0,0,0,0.5
BOS,0,0,0,0.5
BRK,0,0,0,0.5
CHO,0,0,0,0.5
CHI,0,0,0,0.5
CLE,0,0,0,0.5
DAL,0,0,0,0.5
DEN,0,0,0,0.5
DET,0,0,0,0.5
GSW,0,0,0,0.5
HOU,0,0,0,0.5
IND,0,0,0,0.5
LAC,0,0,0,0.5
LAL,0,0,0,0.5
MEM,0,0,0,0.5
MIA,0,0,0,0.5
MIL,0,0,0,0.5
MIN,0,0,0,0.5
NOP,0,0,0,0.5
NYK,0,0,0,0.5
OKC,0,0,0,0.5
ORL,0,0,0,0.5
PHI,0,0,0,0.5
PHO,0,0,0,0.5
POR,0,0,0,0.5
SAC,0,0,0,0.5
SAS,0,0,0,0.5
TOR,0,0,0,0.5
UTA,0,0,0,0.5
WAS,0,0,0,0.5
