,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,9,5,5,1.0
MIA,10,4,4,1.0
OKC,10,4,4,1.0
DEN,9,6,6,1.0
GSW,10,4,4,1.0
CHI,9,5,5,1.0
NYK,8,5,5,1.0
CLE,10,5,4,0.8
MIL,9,5,4,0.8
DET,9,5,4,0.8
PHO,10,5,4,0.8
PHI,9,4,3,0.75
UTA,9,3,2,0.67
HOU,8,3,2,0.67
LAL,10,5,3,0.6
POR,9,5,3,0.6
SAC,9,4,2,0.5
ORL,9,4,2,0.5
MIN,9,4,2,0.5
TOR,10,4,2,0.5
LAC,9,6,3,0.5
CHO,9,4,2,0.5
MEM,10,7,3,0.43
BOS,10,5,2,0.4
ATL,10,5,2,0.4
DAL,10,6,2,0.33
NOP,9,3,1,0.33
IND,9,5,1,0.2
BRK,9,5,0,0.0
WAS,10,5,0,0.0
