,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
GSW,9,4,4,1.0
CHI,7,5,5,1.0
NYK,8,5,5,1.0
MIA,8,2,2,1.0
SAS,7,3,3,1.0
DEN,7,4,4,1.0
OKC,9,4,4,1.0
DET,8,5,4,0.8
CLE,8,4,3,0.75
MIL,8,4,3,0.75
PHO,8,4,3,0.75
UTA,8,3,2,0.67
PHI,8,3,2,0.67
HOU,7,3,2,0.67
SAC,8,3,2,0.67
POR,8,5,3,0.6
LAC,7,5,3,0.6
LAL,9,5,3,0.6
TOR,8,4,2,0.5
CHO,8,4,2,0.5
BOS,9,5,2,0.4
ATL,8,3,1,0.33
NOP,8,3,1,0.33
DAL,8,6,2,0.33
MIN,8,3,1,0.33
MEM,9,6,2,0.33
ORL,8,3,1,0.33
IND,8,5,1,0.2
BRK,8,4,0,0.0
WAS,8,3,0,0.0
