,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
GSW,14,5,5,1.0
OKC,13,6,6,1.0
DEN,11,6,6,1.0
NYK,12,9,8,0.89
DET,13,8,7,0.88
PHO,13,7,6,0.86
MIA,13,6,5,0.83
CHI,11,6,5,0.83
HOU,11,5,4,0.8
SAS,12,7,5,0.71
MIL,13,7,5,0.71
PHI,12,6,4,0.67
CLE,13,6,4,0.67
MIN,12,5,3,0.6
POR,12,5,3,0.6
LAL,13,5,3,0.6
ORL,13,7,4,0.57
TOR,12,4,2,0.5
BOS,13,6,3,0.5
CHO,12,6,3,0.5
UTA,12,6,3,0.5
ATL,13,5,2,0.4
LAC,12,8,3,0.38
MEM,13,8,3,0.38
SAC,13,7,2,0.29
DAL,13,9,2,0.22
IND,12,5,1,0.2
NOP,12,5,1,0.2
BRK,12,6,0,0.0
WAS,12,5,0,0.0
