,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,3,1,1,1.0
MIN,3,1,1,1.0
LAC,3,2,2,1.0
MIA,3,1,1,1.0
CLE,3,1,1,1.0
DET,3,1,1,1.0
DEN,2,1,1,1.0
PHI,2,1,1,1.0
CHO,3,1,1,1.0
UTA,2,1,1,1.0
MIL,3,1,1,1.0
CHI,2,1,1,1.0
OKC,3,1,1,1.0
NYK,3,2,2,1.0
PHO,3,1,1,1.0
GSW,3,1,1,1.0
MEM,3,3,2,0.67
LAL,3,2,1,0.5
SAC,3,2,1,0.5
POR,3,2,1,0.5
DAL,3,3,1,0.33
ORL,3,3,1,0.33
ATL,3,2,0,0.0
WAS,3,1,0,0.0
IND,3,1,0,0.0
BRK,3,1,0,0.0
HOU,2,1,0,0.0
TOR,3,1,0,0.0
NOP,2,1,0,0.0
BOS,3,1,0,0.0
