date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,kelly_full,kelly_fraction_used,stake_eur,exp_profit_eur,param_home_win_rate_threshold,param_odds_min,param_odds_max,param_prob_threshold,bankroll_at_bettime
2025-11-03,DEN,SAC,1.0,0.8,0.75,1.17,-6.4,-0.721,0.0,0.0,-0.0,0.55,1.1,2.9,0.4,1208.65
2025-11-03,LAC,MIA,1.0,0.7,0.7,1.31,-8.3,-0.268,0.0,0.0,-0.0,0.55,1.1,2.9,0.4,1208.65
2025-11-03,NYK,WAS,1.0,0.8,0.75,1.15,-8.0,-0.917,0.0,0.0,-0.0,0.55,1.1,2.9,0.4,1208.65
2025-11-03,POR,LAL,0.67,0.7,0.7,1.31,-8.3,-0.268,0.0,0.0,-0.0,0.55,1.1,2.9,0.4,1208.65
