,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,13,6,6,1.0
GSW,13,5,5,1.0
DEN,11,6,6,1.0
NYK,11,8,7,0.88
DET,12,7,6,0.86
CHI,11,6,5,0.83
SAS,11,6,5,0.83
MIA,12,6,5,0.83
PHO,12,6,5,0.83
CLE,12,5,4,0.8
HOU,10,4,3,0.75
PHI,11,6,4,0.67
MIL,12,6,4,0.67
POR,11,5,3,0.6
UTA,11,5,3,0.6
LAL,12,5,3,0.6
MIN,11,4,2,0.5
ORL,12,6,3,0.5
BOS,13,6,3,0.5
CHO,11,6,3,0.5
TOR,11,4,2,0.5
ATL,12,5,2,0.4
MEM,13,8,3,0.38
LAC,11,8,3,0.38
SAC,12,7,2,0.29
DAL,12,8,2,0.25
NOP,11,4,1,0.25
IND,11,5,1,0.2
BRK,11,6,0,0.0
WAS,12,5,0,0.0
