home_team,away_team,game_date
MIL,SAC,2025-11-01
CHO,MIN,2025-11-01
IND,GSW,2025-11-01
WAS,ORL,2025-11-01
BOS,HOU,2025-11-01
DET,DAL,2025-11-01
