home_team,away_team,game_date
ORL,BOS,2025-11-07
WAS,CLE,2025-11-07
ATL,TOR,2025-11-07
BRK,DET,2025-11-07
SAS,HOU,2025-11-07
MEM,DAL,2025-11-07
MIA,CHO,2025-11-07
MIL,CHI,2025-11-07
MIN,UTA,2025-11-07
DEN,GSW,2025-11-07
SAC,OKC,2025-11-07
