home_team,away_team,game_date
WAS,DAL,2025-11-08
PHI,TOR,2025-11-08
ATL,LAL,2025-11-08
CLE,CHI,2025-11-08
MIA,POR,2025-11-08
SAS,NOP,2025-11-08
DEN,IND,2025-11-08
LAC,PHX,2025-11-08
