home_team,away_team,game_date
MIL,HOU,2025-11-09
MEM,OKC,2025-11-09
NYK,BRK,2025-11-09
ORL,BOS,2025-11-09
PHI,DET,2025-11-09
GSW,IND,2025-11-09
SAC,MIN,2025-11-09
