home_team,away_team,game_date
DET,CLE,2025-10-27
PHI,ORL,2025-10-27
CHI,ATL,2025-10-27
HOU,BRK,2025-10-27
NOP,BOS,2025-10-27
SAS,TOR,2025-10-27
DAL,OKC,2025-10-27
UTA,PHX,2025-10-27
MIN,DEN,2025-10-27
GSW,MEM,2025-10-27
LAL,POR,2025-10-27
