home_team,away_team,game_date
CLE,PHI,2025-11-05
DET,UTA,2025-11-05
IND,BRK,2025-11-05
BOS,WAS,2025-11-05
NYK,MIN,2025-11-05
MEM,HOU,2025-11-05
DAL,NOP,2025-11-05
DEN,MIA,2025-11-05
LAL,SAS,2025-11-05
POR,OKC,2025-11-05
SAC,GSW,2025-11-05
