home_team,away_team,game_date
BRK,TOR,2025-11-11
NYK,MEM,2025-11-11
OKC,GSW,2025-11-11
PHI,BOS,2025-11-11
UTA,IND,2025-11-11
SAC,DEN,2025-11-11
