home_team,away_team,game_date
CHA,BRK,2025-10-22
NYK,CLE,2025-10-22
ORL,MIA,2025-10-22
BOS,PHI,2025-10-22
ATL,TOR,2025-10-22
CHI,DET,2025-10-22
MEM,NOP,2025-10-22
MIL,WAS,2025-10-22
UTA,LAC,2025-10-22
DAL,SAS,2025-10-22
POR,MIN,2025-10-22
PHO,SAC,2025-10-22
