home_team,away_team,game_date
CHO,MIL,2025-11-12
DET,CHI,2025-11-12
NYK,ORL,2025-11-12
BOS,MEM,2025-11-12
MIA,CLE,2025-11-12
HOU,WAS,2025-11-12
NOP,POR,2025-11-12
SAS,GSW,2025-11-12
DAL,PHX,2025-11-12
OKC,LAL,2025-11-12
SAC,ATL,2025-11-12
LAC,DEN,2025-11-12
