home_team,away_team,game_date
OKC,NOP,2025-11-02
BRK,PHI,2025-11-02
CHO,UTA,2025-11-02
CLE,ATL,2025-11-02
TOR,MEM,2025-11-02
NYK,CHI,2025-11-02
PHX,SAS,2025-11-02
LAL,MIA,2025-11-02
