home_team,away_team,game_date
TOR,MIL,2025-11-04
ATL,ORL,2025-11-04
CHI,PHI,2025-11-04
NOP,CHO,2025-11-04
GSW,PHX,2025-11-04
LAC,OKC,2025-11-04
