home_team,away_team,game_date
IND,ATL,2025-10-31
PHI,BOS,2025-10-31
CLE,TOR,2025-10-31
CHI,NYK,2025-10-31
MEM,LAL,2025-10-31
PHX,UTA,2025-10-31
POR,DEN,2025-10-31
LAC,NOP,2025-10-31
