home_team,away_team,game_date
TOR,HOU,2025-10-29
BOS,CLE,2025-10-29
DET,ORL,2025-10-29
BRK,ATL,2025-10-29
CHI,SAC,2025-10-29
DAL,IND,2025-10-29
UTA,POR,2025-10-29
DEN,NOP,2025-10-29
MIN,LAL,2025-10-29
PHX,MEM,2025-10-29
