home_team,away_team,game_date
SAS,BRK,2025-10-26
DET,BOS,2025-10-26
WAS,CHA,2025-10-26
MIA,NYK,2025-10-26
CLE,MIL,2025-10-26
MIN,IND,2025-10-26
DAL,TOR,2025-10-26
SAC,LAL,2025-10-26
LAC,POR,2025-10-26
