home_team,away_team,game_date
NYK,MIA,2025-11-14
ORL,BRK,2025-11-14
DET,PHI,2025-11-14
HOU,POR,2025-11-14
MIL,CHO,2025-11-14
MIN,SAC,2025-11-14
NOP,LAL,2025-11-14
DAL,LAC,2025-11-14
SAS,GSW,2025-11-14
