home_team,away_team,game_date
CHO,LAL,2025-11-10
DET,WAS,2025-11-10
ORL,POR,2025-11-10
MIA,CLE,2025-11-10
CHI,SAS,2025-11-10
DAL,MIL,2025-11-10
PHX,NOP,2025-11-10
UTA,MIN,2025-11-10
LAC,ATL,2025-11-10
